SEVGI
ONDER
ALPER
KASIM
ZEKERIYA
ERGUN
TEVFIK
RESUL
UMUT
YAHYA
MUHITTIN
COSKUN
TOLGA
SELAMI
NECMETTIN
NECDET
RIFAT
KERIM
NAZIM
HUSNU
SEBAHATTIN
SEREF
BIROL
BAHATTIN
OKAN
RASIM
FEHMI
CUNEYT
HAYRI
LUTFI
NACI
CAHIT
ATILLA
TARIK
NEDIM
SERAFETTIN
SEYIT
SEMIH
FIRAT
SAMET
BAHRI
NAZMI
SEYFETTIN
TAMER
MUHSIN
SATILMIS
MUSLUM
HALIS
TAYFUN
ERTUGRUL
RAHMI
ERTAN
AYKUT
CEVAT
HANIFI
SEZGIN
EYYUP
SEFER
ESREF
SADETTIN
BUNYAMIN
FERIT
FIKRI
KEREM
FERDI
FAIK
HAYATI
ERDINC
SEZAI
MAHIR
ASIM
ILHAMI
AKIN
RESIT
NURULLAH
CANER
VEYSI
BAKI
EMRULLAH
NIZAMETTIN
SABAHATTIN
NECIP
RAFET
NAIL
SERCAN
GURKAN
REFIK
OZAN
HIDAYET
TEKIN
NUSRET
NECMI
SEYHMUS
ALAATTIN
GALIP
RESAT
OGUZHAN
ZEYNEL
CUMALI
HUSAMETTIN
EREN
SERDAL
RASIT
HIDIR
CEMALETTIN
ABIDIN
FETHI
GAZI
TALIP
HASIM
SEVKI
SEFA
NADIR
HALUK
SIDDIK
MERT
MUMIN
HALIM
AVNI
KADRI
ERGIN
ABDULKERIM
